date,hour,type,北京
20170127,17,PM2.5,56
20170127,18,PM2.5,67
20170127,19,PM2.5,95
20170127,20,PM2.5,132
20170127,21,PM2.5,187
20170127,22,PM2.5,253
20170127,23,PM2.5,301
20170128,0,PM2.5,334
20170128,1,PM2.5,550
20170128,2,PM2.5,607
20170128,3,PM2.5,566
20170128,4,PM2.5,526
20170128,5,PM2.5,503
20170128,6,PM2.5,486
20170128,7,PM2.5,440
20170128,8,PM2.5,369
20170128,9,PM2.5,324
20170128,10,PM2.5,297
20170128,11,PM2.5,274
20170128,12,PM2.5,248
20170128,13,PM2.5,228
20170128,14,PM2.5,218
20170128,15,PM2.5,219
20170128,16,PM2.5,220
20170128,17,PM2.5,229
20170128,18,PM2.5,230
20170128,19,PM2.5,235
20170128,20,PM2.5,243
20170128,21,PM2.5,250
20170128,22,PM2.5,254
20170128,23,PM2.5,261
20170129,0,PM2.5,256
20170129,1,PM2.5,238
20170129,2,PM2.5,180
20170129,3,PM2.5,45
20170129,4,PM2.5,11
20170129,5,PM2.5,8
20170129,6,PM2.5,10
20170129,7,PM2.5,9
20170129,8,PM2.5,9
20170129,9,PM2.5,10
20170129,10,PM2.5,8
20170129,11,PM2.5,9
20170129,12,PM2.5,11
20170129,13,PM2.5,11
20170129,14,PM2.5,12
20170129,15,PM2.5,11
20170129,16,PM2.5,13
20170129,17,PM2.5,13
20170129,18,PM2.5,11
20170129,19,PM2.5,10
20170129,20,PM2.5,8
20170129,21,PM2.5,9
20170129,22,PM2.5,8
20170130,0,PM2.5,8
20170130,1,PM2.5,8
20170130,2,PM2.5,8
20170130,3,PM2.5,6
20170130,4,PM2.5,7
20170130,5,PM2.5,7
20170130,6,PM2.5,7
20170130,7,PM2.5,8
20170130,8,PM2.5,8
20170130,9,PM2.5,9
20170130,10,PM2.5,12
20170130,11,PM2.5,8
20170130,12,PM2.5,7
20170130,13,PM2.5,8
20170130,14,PM2.5,10
20170130,15,PM2.5,9
20170130,16,PM2.5,11
20170130,17,PM2.5,39
20170130,18,PM2.5,76
20170130,19,PM2.5,59
20170130,20,PM2.5,62
20170130,21,PM2.5,67
20170130,22,PM2.5,68
20170130,23,PM2.5,73
20170131,0,PM2.5,79
20170131,1,PM2.5,89
20170131,2,PM2.5,91
20170131,3,PM2.5,91
20170131,4,PM2.5,91
20170131,5,PM2.5,92
20170131,6,PM2.5,88
20170131,7,PM2.5,93
20170131,8,PM2.5,92
20170131,9,PM2.5,89
20170131,10,PM2.5,86
20170131,11,PM2.5,84
20170131,12,PM2.5,71
20170131,13,PM2.5,66
20170131,14,PM2.5,71
20170131,15,PM2.5,68
20170131,16,PM2.5,66
20170131,17,PM2.5,59
20170131,18,PM2.5,63
20170131,19,PM2.5,85
20170131,20,PM2.5,86
20170131,21,PM2.5,76
20170131,22,PM2.5,23
20170131,23,PM2.5,13
20170201,0,PM2.5,9
20170201,1,PM2.5,10
20170201,2,PM2.5,9
20170201,3,PM2.5,9
20170201,4,PM2.5,7
20170201,5,PM2.5,8
20170201,6,PM2.5,7
20170201,7,PM2.5,6
20170201,8,PM2.5,5
20170201,9,PM2.5,7
20170201,10,PM2.5,7
20170201,11,PM2.5,6
20170201,12,PM2.5,8
20170201,13,PM2.5,11
20170201,14,PM2.5,8
20170201,15,PM2.5,11
20170201,16,PM2.5,13
20170201,17,PM2.5,23
20170201,18,PM2.5,40
20170201,19,PM2.5,61
20170201,20,PM2.5,91
20170201,21,PM2.5,123
20170201,22,PM2.5,121
20170201,23,PM2.5,131
20170202,0,PM2.5,127
20170202,1,PM2.5,111
20170202,2,PM2.5,98
20170202,3,PM2.5,91
20170202,4,PM2.5,69
20170202,5,PM2.5,57
20170202,6,PM2.5,52
20170202,7,PM2.5,44
20170202,8,PM2.5,36
20170202,9,PM2.5,42
20170202,10,PM2.5,49
20170202,11,PM2.5,55
20170202,12,PM2.5,60
20170202,13,PM2.5,57
20170202,14,PM2.5,59
20170202,15,PM2.5,63
20170202,16,PM2.5,71
20170202,17,PM2.5,75
20170202,18,PM2.5,78
20170202,19,PM2.5,94
20170202,20,PM2.5,124
20170202,21,PM2.5,128
20170202,22,PM2.5,137
20170202,23,PM2.5,145
20170203,0,PM2.5,143
20170203,1,PM2.5,144
20170203,2,PM2.5,140
20170203,3,PM2.5,142
20170203,4,PM2.5,132
20170203,5,PM2.5,118
20170203,6,PM2.5,92
20170203,7,PM2.5,80
20170203,8,PM2.5,78
20170203,9,PM2.5,88
20170203,10,PM2.5,84
20170203,11,PM2.5,86
20170203,12,PM2.5,93
20170203,13,PM2.5,111
20170203,14,PM2.5,127
20170203,15,PM2.5,147
20170203,16,PM2.5,179
20170203,17,PM2.5,205
20170203,18,PM2.5,218
20170203,19,PM2.5,231
20170203,20,PM2.5,247
20170203,21,PM2.5,265
20170203,22,PM2.5,283
20170203,23,PM2.5,284
20170204,0,PM2.5,285
20170204,1,PM2.5,275
20170204,2,PM2.5,265
20170204,3,PM2.5,272
20170204,4,PM2.5,273
20170204,5,PM2.5,280
20170204,6,PM2.5,288
20170204,7,PM2.5,292
20170204,8,PM2.5,296
20170204,9,PM2.5,294
20170204,10,PM2.5,286
20170204,11,PM2.5,285
20170204,12,PM2.5,294
20170204,13,PM2.5,293
20170204,14,PM2.5,279
20170204,15,PM2.5,267
20170204,16,PM2.5,272
20170204,17,PM2.5,290
20170204,18,PM2.5,296
20170204,19,PM2.5,287
20170204,20,PM2.5,170
20170204,21,PM2.5,57
20170204,22,PM2.5,30
20170204,23,PM2.5,19
20170205,0,PM2.5,17
20170205,1,PM2.5,17
20170205,2,PM2.5,22
20170205,3,PM2.5,23
20170205,4,PM2.5,21
20170205,5,PM2.5,19
20170205,6,PM2.5,15
20170205,7,PM2.5,13
20170205,8,PM2.5,11
20170205,9,PM2.5,11
20170205,10,PM2.5,11
20170205,11,PM2.5,8
20170205,12,PM2.5,6
20170205,13,PM2.5,7
20170205,14,PM2.5,6
20170205,15,PM2.5,9
20170205,16,PM2.5,11
20170205,17,PM2.5,14
20170205,18,PM2.5,10
20170205,19,PM2.5,8
20170205,20,PM2.5,7
20170205,21,PM2.5,8
20170205,22,PM2.5,8
20170205,23,PM2.5,8
20170206,0,PM2.5,7
20170206,1,PM2.5,6
20170206,2,PM2.5,5
20170206,3,PM2.5,4
20170206,4,PM2.5,4
20170206,5,PM2.5,5
20170206,6,PM2.5,6
20170206,7,PM2.5,6
20170206,8,PM2.5,7
20170206,9,PM2.5,8
20170206,10,PM2.5,10
20170206,11,PM2.5,9
20170206,12,PM2.5,7
20170206,13,PM2.5,5
20170206,14,PM2.5,6
20170206,15,PM2.5,7
20170206,16,PM2.5,7
20170206,17,PM2.5,9
20170206,18,PM2.5,15
20170206,19,PM2.5,21
20170206,20,PM2.5,31
20170206,21,PM2.5,35
20170206,22,PM2.5,39
20170206,23,PM2.5,42
20170207,0,PM2.5,48
20170207,1,PM2.5,61
20170207,2,PM2.5,64
20170207,3,PM2.5,64
20170207,4,PM2.5,67
20170207,5,PM2.5,69
20170207,6,PM2.5,69
20170207,7,PM2.5,69
20170207,8,PM2.5,72
20170207,9,PM2.5,76
20170207,10,PM2.5,80
20170207,11,PM2.5,61
20170207,12,PM2.5,55
20170207,13,PM2.5,57
20170207,14,PM2.5,61
20170207,15,PM2.5,64
20170207,16,PM2.5,67
20170207,17,PM2.5,81
20170207,18,PM2.5,93
20170207,19,PM2.5,103
20170207,20,PM2.5,108
20170207,21,PM2.5,107
20170207,22,PM2.5,107
20170207,23,PM2.5,109
20170208,0,PM2.5,106
20170208,1,PM2.5,106
20170208,2,PM2.5,105
20170208,3,PM2.5,100
20170208,4,PM2.5,89
20170208,5,PM2.5,70
20170208,6,PM2.5,39
20170208,7,PM2.5,16
20170208,8,PM2.5,10
20170208,9,PM2.5,7
20170208,10,PM2.5,8
20170208,11,PM2.5,10
20170208,12,PM2.5,9
20170208,13,PM2.5,11
20170208,14,PM2.5,10
20170208,15,PM2.5,9
20170208,16,PM2.5,10
20170208,17,PM2.5,9
20170208,18,PM2.5,9
20170208,19,PM2.5,9
20170208,20,PM2.5,9
20170208,21,PM2.5,8
20170208,22,PM2.5,9
20170208,23,PM2.5,8
20170209,0,PM2.5,9
20170209,1,PM2.5,7
20170209,2,PM2.5,7
20170209,3,PM2.5,6
20170209,4,PM2.5,7
20170209,5,PM2.5,6
20170209,6,PM2.5,5
20170209,7,PM2.5,6
20170209,8,PM2.5,7
20170209,9,PM2.5,6
20170209,10,PM2.5,7
20170209,11,PM2.5,6
20170209,12,PM2.5,7
20170209,13,PM2.5,6
20170209,14,PM2.5,8
20170209,15,PM2.5,6
20170209,16,PM2.5,6
20170209,17,PM2.5,6
20170209,18,PM2.5,5
20170209,19,PM2.5,6
20170209,20,PM2.5,6
20170209,21,PM2.5,7
20170209,22,PM2.5,6
20170209,23,PM2.5,5
20170210,0,PM2.5,6
20170210,1,PM2.5,5
20170210,2,PM2.5,6
20170210,3,PM2.5,7
20170210,4,PM2.5,4
20170210,5,PM2.5,4
20170210,6,PM2.5,5
20170210,7,PM2.5,4
20170210,8,PM2.5,6
20170210,9,PM2.5,7
20170210,10,PM2.5,7
20170210,11,PM2.5,6
20170210,12,PM2.5,7
20170210,13,PM2.5,7
20170210,14,PM2.5,6
20170210,15,PM2.5,7
20170210,16,PM2.5,6
20170210,17,PM2.5,6
20170210,18,PM2.5,6
20170210,19,PM2.5,8
20170210,20,PM2.5,9
20170210,21,PM2.5,10
20170210,22,PM2.5,9
20170210,23,PM2.5,10
20170211,0,PM2.5,14
20170211,1,PM2.5,13
20170211,2,PM2.5,12
20170211,3,PM2.5,11
20170211,4,PM2.5,13
20170211,5,PM2.5,13
20170211,6,PM2.5,13
20170211,7,PM2.5,13
20170211,8,PM2.5,14
20170211,9,PM2.5,19
20170211,10,PM2.5,21
20170211,11,PM2.5,17
20170211,12,PM2.5,13
20170211,13,PM2.5,12
20170211,14,PM2.5,11
20170211,15,PM2.5,13
20170211,16,PM2.5,21
20170211,17,PM2.5,33
20170211,18,PM2.5,39
20170211,19,PM2.5,58
20170211,20,PM2.5,96
20170211,21,PM2.5,139
20170211,22,PM2.5,215
20170211,23,PM2.5,202
20170212,0,PM2.5,189
20170212,1,PM2.5,161
20170212,2,PM2.5,138
20170212,3,PM2.5,120
20170212,4,PM2.5,86
20170212,5,PM2.5,59
20170212,6,PM2.5,48
20170212,7,PM2.5,49
20170212,8,PM2.5,66
20170212,9,PM2.5,86
20170212,10,PM2.5,93
20170212,11,PM2.5,105
20170212,12,PM2.5,103
20170212,13,PM2.5,98
20170212,14,PM2.5,98
20170212,15,PM2.5,96
20170212,16,PM2.5,91
20170212,17,PM2.5,97
20170212,18,PM2.5,107
20170212,19,PM2.5,112
20170212,20,PM2.5,115
20170212,21,PM2.5,124
20170212,22,PM2.5,130
20170212,23,PM2.5,140
20170213,0,PM2.5,141
20170213,1,PM2.5,137
20170213,2,PM2.5,146
20170213,3,PM2.5,146
20170213,4,PM2.5,142
20170213,5,PM2.5,123
20170213,6,PM2.5,110
20170213,7,PM2.5,93
20170213,8,PM2.5,80
20170213,9,PM2.5,66
20170213,10,PM2.5,50
20170213,11,PM2.5,36
20170213,12,PM2.5,22
20170213,13,PM2.5,16
20170213,14,PM2.5,14
20170213,15,PM2.5,14
20170213,16,PM2.5,17
20170213,17,PM2.5,18
20170213,18,PM2.5,23
20170213,19,PM2.5,43
20170213,20,PM2.5,81
20170213,21,PM2.5,102
20170213,22,PM2.5,137
20170213,23,PM2.5,158
20170214,0,PM2.5,151
20170214,1,PM2.5,136
20170214,2,PM2.5,137
20170214,3,PM2.5,142
20170214,4,PM2.5,142
20170214,5,PM2.5,139
20170214,6,PM2.5,135
20170214,7,PM2.5,137
20170214,8,PM2.5,141
20170214,9,PM2.5,147
20170214,10,PM2.5,163
20170214,11,PM2.5,179
20170214,12,PM2.5,187
20170214,13,PM2.5,177
20170214,14,PM2.5,181
20170214,15,PM2.5,188
20170214,16,PM2.5,208
20170214,17,PM2.5,213
20170214,18,PM2.5,210
20170214,19,PM2.5,215
20170214,20,PM2.5,221
20170214,21,PM2.5,227
20170214,22,PM2.5,227
20170214,23,PM2.5,236
20170215,0,PM2.5,243
20170215,1,PM2.5,243
20170215,2,PM2.5,238
20170215,3,PM2.5,229
20170215,4,PM2.5,226
20170215,5,PM2.5,227
20170215,6,PM2.5,229
20170215,7,PM2.5,226
20170215,8,PM2.5,224
20170215,9,PM2.5,229
20170215,10,PM2.5,214
20170215,11,PM2.5,223
20170215,12,PM2.5,241
20170215,13,PM2.5,208
20170215,14,PM2.5,200
20170215,15,PM2.5,184
20170215,16,PM2.5,187
20170215,17,PM2.5,235
20170215,18,PM2.5,250
20170215,19,PM2.5,256
20170215,20,PM2.5,261
20170215,21,PM2.5,261
20170215,22,PM2.5,267
20170215,23,PM2.5,271
20170216,0,PM2.5,265
20170216,1,PM2.5,261
20170216,2,PM2.5,266
20170216,3,PM2.5,260
20170216,4,PM2.5,258
20170216,5,PM2.5,254
20170216,6,PM2.5,246
20170216,7,PM2.5,232
20170216,8,PM2.5,187
20170216,9,PM2.5,137
20170216,10,PM2.5,70
20170216,11,PM2.5,31
20170216,12,PM2.5,17
20170216,13,PM2.5,13
20170216,14,PM2.5,11
20170216,15,PM2.5,8
20170216,16,PM2.5,7
20170216,17,PM2.5,9
20170216,18,PM2.5,9
20170216,19,PM2.5,10
20170216,20,PM2.5,9
20170216,21,PM2.5,7
20170216,22,PM2.5,7
20170216,23,PM2.5,6
20170217,0,PM2.5,6
20170217,1,PM2.5,6
20170217,2,PM2.5,6
20170217,3,PM2.5,6
20170217,4,PM2.5,8
20170217,5,PM2.5,7
20170217,6,PM2.5,7
20170217,7,PM2.5,9
20170217,8,PM2.5,9
20170217,9,PM2.5,9
20170217,10,PM2.5,6
20170217,11,PM2.5,6
20170217,12,PM2.5,7
20170217,13,PM2.5,6
20170217,14,PM2.5,5
20170217,15,PM2.5,11
20170217,16,PM2.5,19
20170217,17,PM2.5,33
20170217,18,PM2.5,44
20170217,19,PM2.5,57
20170217,20,PM2.5,57
20170217,21,PM2.5,58
20170217,22,PM2.5,57
20170217,23,PM2.5,58
20170218,0,PM2.5,60
20170218,1,PM2.5,66
20170218,2,PM2.5,75
20170218,3,PM2.5,77
20170218,4,PM2.5,79
20170218,5,PM2.5,72
20170218,6,PM2.5,68
20170218,7,PM2.5,65
20170218,8,PM2.5,64
20170218,9,PM2.5,67
20170218,10,PM2.5,78
20170218,11,PM2.5,89
20170218,12,PM2.5,91
20170218,13,PM2.5,83
20170218,14,PM2.5,84
20170218,15,PM2.5,85
20170218,16,PM2.5,87
20170218,17,PM2.5,79
20170218,18,PM2.5,76
20170218,19,PM2.5,95
20170218,20,PM2.5,107
20170218,21,PM2.5,120
20170218,22,PM2.5,117
20170218,23,PM2.5,123
20170219,0,PM2.5,129
20170219,1,PM2.5,133
20170219,2,PM2.5,136
20170219,3,PM2.5,142
20170219,4,PM2.5,146
20170219,5,PM2.5,151
20170219,6,PM2.5,152
20170219,7,PM2.5,152
20170219,8,PM2.5,149
20170219,9,PM2.5,153
20170219,10,PM2.5,155
20170219,11,PM2.5,157
20170219,12,PM2.5,163
20170219,13,PM2.5,165
20170219,14,PM2.5,127
20170219,15,PM2.5,51
20170219,16,PM2.5,13
20170219,17,PM2.5,9
20170219,18,PM2.5,9
20170219,19,PM2.5,8
20170219,20,PM2.5,10
20170219,21,PM2.5,8
20170219,22,PM2.5,7
20170219,23,PM2.5,6
20170220,0,PM2.5,6
20170220,1,PM2.5,4
20170220,2,PM2.5,7
20170220,3,PM2.5,6
20170220,4,PM2.5,5
20170220,5,PM2.5,6
20170220,6,PM2.5,5
20170220,7,PM2.5,4
20170220,8,PM2.5,6
20170220,9,PM2.5,6
20170220,10,PM2.5,7
20170220,11,PM2.5,6
20170220,12,PM2.5,8
20170220,13,PM2.5,9
20170220,14,PM2.5,9
20170220,15,PM2.5,9
20170220,16,PM2.5,8
20170220,17,PM2.5,9
20170220,18,PM2.5,10
20170220,19,PM2.5,17
20170220,20,PM2.5,21
20170220,21,PM2.5,25
20170220,22,PM2.5,24
20170220,23,PM2.5,32
20170221,0,PM2.5,41
20170221,1,PM2.5,46
20170221,2,PM2.5,45
20170221,3,PM2.5,46
20170221,4,PM2.5,53
20170221,5,PM2.5,63
20170221,6,PM2.5,74
20170221,7,PM2.5,75
20170221,8,PM2.5,78
20170221,9,PM2.5,78
20170221,10,PM2.5,79
20170221,11,PM2.5,73
20170221,12,PM2.5,80
20170221,13,PM2.5,62
20170221,14,PM2.5,52
20170221,15,PM2.5,45
20170221,16,PM2.5,47
20170221,17,PM2.5,48
20170221,18,PM2.5,46
20170221,19,PM2.5,52
20170221,20,PM2.5,62
20170221,21,PM2.5,66
20170221,22,PM2.5,65
20170221,23,PM2.5,67
20170222,0,PM2.5,69
20170222,1,PM2.5,76
20170222,2,PM2.5,83
20170222,3,PM2.5,87
20170222,4,PM2.5,89
20170222,5,PM2.5,89
20170222,6,PM2.5,91
20170222,7,PM2.5,94
20170222,8,PM2.5,100
20170222,9,PM2.5,109
20170222,10,PM2.5,121
20170222,11,PM2.5,121
20170222,12,PM2.5,115
20170222,13,PM2.5,126
20170222,14,PM2.5,139
20170222,15,PM2.5,128
20170222,16,PM2.5,94
20170222,17,PM2.5,47
20170222,18,PM2.5,9
20170222,19,PM2.5,9
20170222,20,PM2.5,9
20170222,21,PM2.5,9
20170222,22,PM2.5,9
20170222,23,PM2.5,10
20170223,0,PM2.5,10
20170223,1,PM2.5,11
20170223,2,PM2.5,11
20170223,3,PM2.5,10
20170223,4,PM2.5,11
20170223,5,PM2.5,12
20170223,6,PM2.5,12
20170223,7,PM2.5,11
